gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000051951,1937.755565,-0.2357295,0.108214104,-2.178362086,0.02937909,0.08397511
ENSMUSG00000025900,2.273455786,-0.259181356,0.68286636,-0.379549165,0.704280102,0.825911735
ENSMUSG00000025902,251.0059632,-0.319728305,0.083062902,-3.849231115,0.000118489,0.000791362
ENSMUSG00000102269,2.856054403,0.046141846,0.635135747,0.072648793,0.942085598,0.968662021
ENSMUSG00000103922,6.285971038,-0.779446176,0.400900718,-1.944237415,0.051866828,0.132210645
ENSMUSG00000033845,1134.810992,-0.082395018,0.058740369,-1.402698332,0.160706815,0.311360501
ENSMUSG00000025903,2107.287992,-0.070246938,0.064498341,-1.089127835,0.276097517,0.455872635
ENSMUSG00000033813,3321.518091,0.07295094,0.056282166,1.296164395,0.194918853,0.357895084
ENSMUSG00000002459,426.1776483,-0.204644769,0.103440972,-1.978372445,0.047886706,0.124156489
ENSMUSG00000085623,0.678525783,1.569519423,1.203881847,1.303715499,0.192330603,NA
ENSMUSG00000033793,4758.266396,-0.007415661,0.048691997,-0.152297323,0.878952436,0.931989099
ENSMUSG00000025905,71.86908846,0.162088308,0.252061994,0.643049378,0.520192061,0.688807231
ENSMUSG00000033774,4.801459441,0.755414027,0.529893865,1.425594967,0.15398529,0.301588162
ENSMUSG00000025907,6318.373413,-0.020583625,0.077657211,-0.265057488,0.790965176,0.880701433
ENSMUSG00000087247,0.141793426,0.416541834,3.41817183,0.121860999,0.903009104,NA
ENSMUSG00000033740,5814.377597,0.170687366,0.07840919,2.176879604,0.029489552,0.084240762
ENSMUSG00000051285,6789.070102,-0.194949126,0.052543389,-3.710250297,0.000207054,0.001285506
ENSMUSG00000025909,434.6072746,0.187868012,0.112515682,1.669705136,0.094977717,0.21082661
ENSMUSG00000061024,699.6066762,0.046310992,0.071875585,0.64432161,0.519366905,0.688133808
ENSMUSG00000025911,417.1742085,0.240257688,0.079877848,3.007813728,0.002631344,0.01131776
ENSMUSG00000067879,360.3619866,-0.599976425,0.122737925,-4.88827252,1.02E-06,1.18E-05
ENSMUSG00000025912,648.0291978,0.368130682,0.085281107,4.316673357,1.58E-05,0.000137921
ENSMUSG00000045210,3419.368458,-0.095452593,0.055403609,-1.722858755,0.084914071,0.193804451
ENSMUSG00000097893,0.83103561,0.564520989,1.24741293,0.452553421,0.650870346,NA
ENSMUSG00000025915,973.9464155,0.657460237,0.137159067,4.793414332,1.64E-06,1.81E-05
ENSMUSG00000046101,36.73577679,-0.058402215,0.19247738,-0.303423783,0.761566923,0.862498348
ENSMUSG00000098234,272.8354449,0.060446985,0.088012171,0.686802569,0.492207151,0.665347862
ENSMUSG00000093178,2.867750955,-0.542353298,0.633079265,-0.856690984,0.391615687,0.575571022
ENSMUSG00000099032,9.735672404,-0.004842367,0.317949875,-0.01522997,0.987848712,0.993875981
