"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"1","mmu00660",NA,1,0.5,0.050018310546875,3.0517578125e-05,0,1,7.57503202883562e-35
"2","mmu00290",NA,2,0.5,0.024993896484375,3.0517578125e-05,0,1,6.44160167672287e-34
"3","mmu03264","Virion - Flavivirus and Alphavirus",3,0.230769230769231,1,1,0.699554443359375,0.666666666666667,3.44724883209308e-20
"4","mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",6,0.352941176470588,1,1,0.699554443359375,0.666666666666667,1.07970535904077e-17
"5","mmu00604","Glycosphingolipid biosynthesis - ganglio series",14,0.933333333333333,1,1,0.459686279296875,0.714285714285714,9.29458318590206e-14
"6","mmu04964","Proximal tubule bicarbonate reclamation",16,0.727272727272727,1,1,0.675811767578125,0.625,2.04733260204794e-10
"7","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",15,0.882352941176471,1,1,0.521881103515625,0.666666666666667,4.55104429014529e-10
"8","mmu03260","Virion - Human immunodeficiency virus",2,0.2,0.024993896484375,3.0517578125e-05,0,1,6.09182434873341e-10
"9","mmu04973","Carbohydrate digestion and absorption",29,0.591836734693878,1,1,0.746978759765625,0.586206896551724,1.32100170038308e-09
"10","mmu00730","Thiamine metabolism",11,0.733333333333333,1,1,0.491790771484375,0.818181818181818,4.4561255092972e-08
"11","mmu00100","Steroid biosynthesis",18,0.9,1,1,0.756195068359375,0.611111111111111,1.32522555207018e-07
"12","mmu05144","Malaria",20,0.303030303030303,1,1,0.596588134765625,0.75,1.22684933717403e-06
"13","mmu01230","Biosynthesis of amino acids",64,0.810126582278481,1,1,0.626251220703125,0.682539682539683,1.43010835080485e-06
"14","mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate",12,0.857142857142857,1,1,0.699249267578125,0.666666666666667,1.05440089461405e-05
"15","mmu03008","Ribosome biogenesis in eukaryotes",75,0.490196078431373,1,1,0.582244873046875,0.68,4.26539289444871e-05
"16","mmu00670","One carbon pool by folate",32,0.864864864864865,1,1,0.626617431640625,0.65625,0.00012415592861477
"17","mmu00053","Ascorbate and aldarate metabolism",10,0.3125,1,1,0.731842041015625,0.6,0.000374891600449765
"18","mmu00040","Pentose and glucuronate interconversions",16,0.432432432432432,1,1,0.675994873046875,0.6875,0.000378130910065898
"19","mmu00600","Sphingolipid metabolism",48,0.857142857142857,1,1,0.699554443359375,0.604166666666667,0.000381979639390992
"20","mmu00785","Lipoic acid metabolism",18,0.947368421052632,1,1,0.556427001953125,0.666666666666667,0.000416569411648912
"21","mmu04392","Hippo signaling pathway - multiple species",25,0.925925925925926,1,1,0.684600830078125,0.64,0.000734879315183433
"22","mmu00970","Aminoacyl-tRNA biosynthesis",44,0.0954446854663774,1,1,0.731170654296875,0.613636363636364,0.00078369400308818
"23","mmu00512","Mucin type O-glycan biosynthesis",23,0.71875,1,1,0.611419677734375,0.608695652173913,0.000843009849602281
"24","mmu04614","Renin-angiotensin system",13,0.361111111111111,1,1,0.569122314453125,0.769230769230769,0.000967820631513773
"25","mmu04960","Aldosterone-regulated sodium reabsorption",28,0.736842105263158,1,1,0.643646240234375,0.642857142857143,0.00103373440620586
"26","mmu00051","Fructose and mannose metabolism",32,0.842105263157895,1,1,0.742767333984375,0.59375,0.0010947020554298
"27","mmu01523","Antifolate resistance",24,0.857142857142857,1,1,0.742767333984375,0.583333333333333,0.00113062722836502
"28","mmu04940","Type I diabetes mellitus",25,0.384615384615385,1,1,0.726898193359375,0.6,0.00161229577568158
"29","mmu00270","Cysteine and methionine metabolism",49,0.859649122807018,1,1,0.721771240234375,0.604166666666667,0.00366048259841308
"30","mmu00330","Arginine and proline metabolism",42,0.777777777777778,1,1,0.672027587890625,0.595238095238095,0.00366048259841308
"31","mmu00360","Phenylalanine metabolism",14,0.666666666666667,1,1,0.752105712890625,0.615384615384615,0.00366048259841308
"32","mmu05143","African trypanosomiasis",14,0.378378378378378,1,1,0.724822998046875,0.642857142857143,0.00480261538891196
"33","mmu00052","Galactose metabolism",24,0.75,1,1,0.722747802734375,0.583333333333333,0.00502303640814696
"34","mmu04156","Integrated stress response (ISR) signaling pathway",50,0.735294117647059,1,1,0.735198974609375,0.612244897959184,0.00727860970748412
"35","mmu00260","Glycine, serine and threonine metabolism",33,0.825,1,1,0.699066162109375,0.606060606060606,0.00737249802548271
"36","mmu00450","Selenocompound metabolism",16,0.941176470588235,1,1,0.742767333984375,0.625,0.00824066088268283
"37","mmu00520","Amino sugar and nucleotide sugar metabolism",34,0.871794871794872,1,1,0.700469970703125,0.617647058823529,0.0127049591014971
"38","mmu04730","Long-term depression",50,0.833333333333333,1,1,0.727630615234375,0.58,0.013213733773913
"39","mmu04340","Hedgehog signaling pathway",50,0.862068965517241,1,1,0.727386474609375,0.58,0.0159685301905639
"40","mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series",25,0.925925925925926,1,1,0.727508544921875,0.6,0.0179078549883283
