"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"1","mmu00290",NA,2,0.5,0.024993896484375,3.0517578125e-05,0,1,4.54456689120753e-35
"2","mmu05143","African trypanosomiasis",14,0.378378378378378,1,1,0.846527099609375,0.5,8.48415684398436e-07
"3","mmu03267",NA,4,1,1,1,0.846527099609375,0.5,7.74936000377466e-06
"4","mmu03260","Virion - Human immunodeficiency virus",2,0.2,1,1,0.515472412109375,0.5,1.18482200359723e-05
"5","mmu04960","Aldosterone-regulated sodium reabsorption",28,0.736842105263158,1,1,0.846527099609375,0.5,2.13203482482424e-05
"6","mmu04970","Salivary secretion",53,0.609195402298851,1,1,0.839874267578125,0.490566037735849,4.2827315484146e-05
"7","mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",6,0.352941176470588,1,1,0.699493408203125,0.666666666666667,6.81794446266482e-05
"8","mmu05144","Malaria",20,0.303030303030303,1,1,0.766448974609375,0.5,0.000119176164370607
"9","mmu04973","Carbohydrate digestion and absorption",29,0.591836734693878,1,1,0.778656005859375,0.551724137931034,0.000300242807717232
"10","mmu05146","Amoebiasis",61,0.570093457943925,1,1,0.828155517578125,0.442622950819672,0.000479150586090805
"11","mmu04518","Integrin signaling",120,0.784313725490196,1,1,0.820098876953125,0.458333333333333,0.000562055635030712
"12","mmu04514","Cell adhesion molecule (CAM) interaction",95,0.53072625698324,1,1,0.870452880859375,0.4,0.00101838997048038
"13","mmu01230","Biosynthesis of amino acids",64,0.810126582278481,1,1,0.872283935546875,0.428571428571429,0.0010748502114276
"14","mmu04730","Long-term depression",50,0.833333333333333,1,1,0.860015869140625,0.42,0.00111304169852899
"15","mmu04940","Type I diabetes mellitus",25,0.384615384615385,1,1,0.860015869140625,0.4,0.00124833089137
"16","mmu04978","Mineral absorption",44,0.8,1,1,0.846221923828125,0.454545454545455,0.00255334782241844
"17","mmu05218","Melanoma",62,0.861111111111111,1,1,0.823089599609375,0.467741935483871,0.00503562500619848
"18","mmu05230","Central carbon metabolism in cancer",64,0.927536231884058,1,1,0.863250732421875,0.40625,0.00534246122794393
"19","mmu00053","Ascorbate and aldarate metabolism",10,0.3125,1,1,0.846527099609375,0.5,0.00574535958497201
"20","mmu04015","Rap1 signaling pathway",182,0.850467289719626,1,1,0.867462158203125,0.406593406593407,0.0109701117116167
"21","mmu00040","Pentose and glucuronate interconversions",16,0.432432432432432,1,1,0.846527099609375,0.4375,0.0112187486328934
"22","mmu00480","Glutathione metabolism",54,0.73972602739726,1,1,0.858917236328125,0.425925925925926,0.0130112730007778
"23","mmu04512","ECM-receptor interaction",58,0.651685393258427,1,1,0.856048583984375,0.413793103448276,0.0160369423473335
"24","mmu03264","Virion - Flavivirus and Alphavirus",3,0.230769230769231,1,1,0.699493408203125,0.666666666666667,0.0236576558095656
"25","mmu04972","Pancreatic secretion",60,0.521739130434783,1,1,0.888458251953125,0.4,0.0239982884521719
"26","mmu04820","Cytoskeleton in muscle cells",177,0.759656652360515,1,1,0.868438720703125,0.403409090909091,0.0247385297004832
"27","mmu04810","Regulation of actin cytoskeleton",188,0.803418803418803,1,1,0.871795654296875,0.406417112299465,0.0257973879635398
"28","mmu04510","Focal adhesion",171,0.846534653465347,1,1,0.861175537109375,0.405882352941176,0.0268909050835149
"29","mmu00270","Cysteine and methionine metabolism",49,0.859649122807018,1,1,0.873443603515625,0.395833333333333,0.0335990284889615
"30","mmu05215","Prostate cancer",94,0.878504672897196,1,1,0.874237060546875,0.404255319148936,0.0364141181639552
"31","mmu00052","Galactose metabolism",24,0.75,1,1,0.846343994140625,0.416666666666667,0.0422348763910917
"32","mmu05219","Bladder cancer",36,0.878048780487805,1,1,0.849578857421875,0.416666666666667,0.042736296957153
"33","mmu04151","PI3K-Akt signaling pathway",272,0.739130434782609,1,1,0.870880126953125,0.386029411764706,0.0546010786568808
"34","mmu04933","AGE-RAGE signaling pathway in diabetic complications",82,0.811881188118812,1,1,0.891632080078125,0.378048780487805,0.0645940904295602
"35","mmu05410","Hypertrophic cardiomyopathy",76,0.76,1,1,0.895233154296875,0.381578947368421,0.0673551731506572
"36","mmu05412","Arrhythmogenic right ventricular cardiomyopathy",71,0.825581395348837,1,1,0.909271240234375,0.380281690140845,0.0739262502247877
"37","mmu04640","Hematopoietic cell lineage",44,0.473118279569892,1,1,0.875946044921875,0.386363636363636,0.0827748094874293
"38","mmu04666","Fc gamma R-mediated phagosome formation",87,0.925531914893617,1,1,0.872589111328125,0.379310344827586,0.0846264282063909
"39","mmu00051","Fructose and mannose metabolism",32,0.842105263157895,1,1,0.871856689453125,0.375,0.0909355970865068
"40","mmu00430","Taurine and hypotaurine metabolism",10,0.454545454545455,1,1,0.766448974609375,0.3,0.0939850814022422
"41","mmu05224","Breast cancer",124,0.843537414965986,1,1,0.886383056640625,0.387096774193548,0.0974008205725578
"42","mmu05226","Gastric cancer",126,0.84,1,1,0.877288818359375,0.373015873015873,0.0974008205725578
"43","mmu04550","Signaling pathways regulating pluripotency of stem cells",121,0.864285714285714,1,1,0.882049560546875,0.388429752066116,0.116777072338784
"44","mmu04610","Complement and coagulation cascades",40,0.421052631578947,1,1,0.893157958984375,0.35,0.124448437047999
"45","mmu04614","Renin-angiotensin system",13,0.361111111111111,1,1,0.871734619140625,0.384615384615385,0.129668050069195
