"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"1","mmu00290",NA,2,0.5,1,1,0.846588134765625,0.5,1.2145993513928e-21
"2","mmu00470",NA,6,1,1,1,0.936981201171875,0.333333333333333,1.01035832416947e-05
"3","mmu01230","Biosynthesis of amino acids",64,0.810126582278481,1,1,0.915802001953125,0.349206349206349,0.000165078791972664
"4","mmu00010","Glycolysis / Gluconeogenesis",55,0.82089552238806,1,1,0.902557373046875,0.37037037037037,0.000498272280909209
"5","mmu00785","Lipoic acid metabolism",18,0.947368421052632,1,1,0.957244873046875,0.277777777777778,0.000610842576603892
"6","mmu01320",NA,2,1,1,1,0.846588134765625,0.5,0.00339066308234305
"7","mmu03266","Virion - Herpesvirus",8,0.8,1,1,0.846588134765625,0.5,0.00573155649543997
"8","mmu01200","Carbon metabolism",102,0.829268292682927,1,1,0.918121337890625,0.306930693069307,0.0079188207577655
"9","mmu00260","Glycine, serine and threonine metabolism",33,0.825,1,1,0.936981201171875,0.333333333333333,0.0150789443611714
"10","mmu04156","Integrated stress response (ISR) signaling pathway",50,0.735294117647059,1,1,0.891204833984375,0.306122448979592,0.0168350053011566
"11","mmu00030","Pentose phosphate pathway",27,0.794117647058823,1,1,0.950958251953125,0.296296296296296,0.021863977438295
"12","mmu03050","Proteasome",44,0.936170212765957,1,1,0.875946044921875,0.340909090909091,0.0252574574837514
"13","mmu01040","Biosynthesis of unsaturated fatty acids",29,0.852941176470588,1,1,0.957855224609375,0.275862068965517,0.0309627448231324
"14","mmu04614","Renin-angiotensin system",13,0.361111111111111,1,1,0.914154052734375,0.230769230769231,0.0543548252154347
"15","mmu00040","Pentose and glucuronate interconversions",16,0.432432432432432,1,1,0.886138916015625,0.25,0.0715201593277174
"16","mmu00053","Ascorbate and aldarate metabolism",10,0.3125,1,1,0.949676513671875,0.2,0.0981314423180414
"17","mmu05143","African trypanosomiasis",14,0.378378378378378,1,1,0.954620361328125,0.142857142857143,0.106486051820091
"18","mmu00620","Pyruvate metabolism",41,0.911111111111111,1,1,0.943328857421875,0.268292682926829,0.113479874016813
"19","mmu00020","Citrate cycle (TCA cycle)",29,0.90625,1,1,0.932220458984375,0.241379310344828,0.12369876710563
"20","mmu04115","p53 signaling pathway",72,0.96,1,1,0.947845458984375,0.263888888888889,0.131485989834483
"21","mmu00052","Galactose metabolism",24,0.75,1,1,0.897735595703125,0.208333333333333,0.138457196917822
"22","mmu00640","Propanoate metabolism",30,0.967741935483871,1,1,0.936981201171875,0.266666666666667,0.198861120766033
"23","mmu00740",NA,8,1,1,1,0.918731689453125,0.125,0.215052037969092
"24","mmu00100","Steroid biosynthesis",18,0.9,1,1,0.950469970703125,0.222222222222222,0.220316977688862
"25","mmu05216","Thyroid cancer",36,0.972972972972973,1,1,0.929168701171875,0.194444444444444,0.236620488875932
"26","mmu03320","PPAR signaling pathway",53,0.595505617977528,1,1,0.949005126953125,0.226415094339623,0.247050042511357
"27","mmu05017","Spinocerebellar ataxia",131,0.929078014184397,1,1,0.932525634765625,0.251908396946565,0.250726346875961
"28","mmu05219","Bladder cancer",36,0.878048780487805,1,1,0.947601318359375,0.222222222222222,0.251348821136804
"29","mmu04066","HIF-1 signaling pathway",99,0.846153846153846,1,1,0.939178466796875,0.255102040816327,0.298287519646613
"30","mmu03271",NA,1,0.5,1,1,0.765594482421875,0,0.398983801409551
"31","mmu04216","Ferroptosis",38,0.926829268292683,1,1,0.921661376953125,0.236842105263158,0.419533476730312
"32","mmu04218","Cellular senescence",154,0.850828729281768,1,1,0.946929931640625,0.202614379084967,0.456592519575482
"33","mmu05169","Epstein-Barr virus infection",175,0.770925110132159,1,1,0.950469970703125,0.217142857142857,0.478035802593344
"34","mmu05221","Acute myeloid leukemia",57,0.814285714285714,1,1,0.949493408203125,0.210526315789474,0.51302747024081
"35","mmu04215","Apoptosis - multiple species",32,1,1,1,0.956085205078125,0.1875,0.524553685715445
