"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"1","mmu00220","Arginine biosynthesis",16,0.761904761904762,1,1,0.998016357421875,0.0625,4.6603051863928e-12
"2","mmu03450","Non-homologous end-joining",12,0.923076923076923,1,1,0.996429443359375,0.0833333333333333,0.000281260919822755
"3","mmu00640","Propanoate metabolism",30,0.967741935483871,1,1,0.994842529296875,0.0666666666666667,0.000519293146717221
"4","mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis",9,0.75,1,1,0.993560791015625,0.111111111111111,0.000785429878199647
"5","mmu00740",NA,8,1,1,1,0.989898681640625,0.125,0.00155689061287516
"6","mmu04978","Mineral absorption",44,0.8,1,1,0.995758056640625,0.0681818181818182,0.00783237374692838
"7","mmu04122",NA,8,1,1,1,0.991851806640625,0.125,0.0126155510066483
"8","mmu00730","Thiamine metabolism",11,0.733333333333333,1,1,0.982391357421875,0,0.0839885774207118
"9","mmu00051","Fructose and mannose metabolism",32,0.842105263157895,1,1,0.998016357421875,0,0.142795623278499
"10","mmu01230","Biosynthesis of amino acids",64,0.810126582278481,1,1,0.997955322265625,0.0317460317460317,0.142795623278499
"11","mmu03266","Virion - Herpesvirus",8,0.8,1,1,0.991851806640625,0,0.223839456047604
"12","mmu00270","Cysteine and methionine metabolism",49,0.859649122807018,1,1,0.998016357421875,0.0416666666666667,0.257478534006786
"13","mmu04216","Ferroptosis",38,0.926829268292683,1,1,0.996795654296875,0.0263157894736842,0.257478534006786
"14","mmu00010","Glycolysis / Gluconeogenesis",55,0.82089552238806,1,1,0.997161865234375,0.0185185185185185,0.269902280685174
"15","mmu04550","Signaling pathways regulating pluripotency of stem cells",121,0.864285714285714,1,1,0.997161865234375,0.0495867768595041,0.32585422001047
"16","mmu05219","Bladder cancer",36,0.878048780487805,1,1,0.996429443359375,0.0555555555555556,0.32585422001047
"17","mmu04382","Cornified envelope formation",98,0.441441441441441,1,1,0.997406005859375,0.0408163265306122,0.341169371649673
"18","mmu05414","Dilated cardiomyopathy",79,0.766990291262136,1,1,0.997955322265625,0.0126582278481013,0.341169371649673
"19","mmu05143","African trypanosomiasis",14,0.378378378378378,1,1,0.997406005859375,0,0.36693554933917
"20","mmu05418","Fluid shear stress and atherosclerosis",121,0.812080536912752,1,1,0.997161865234375,0.0413223140495868,0.444345800933925
"21","mmu00511","Other glycan degradation",16,0.888888888888889,1,1,0.998016357421875,0,0.468344619884362
"22","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",15,0.882352941176471,1,1,0.997711181640625,0,0.468344619884362
"23","mmu00604","Glycosphingolipid biosynthesis - ganglio series",14,0.933333333333333,1,1,0.997406005859375,0,0.468344619884362
"24","mmu05323","Rheumatoid arthritis",48,0.551724137931034,1,1,0.996917724609375,0.0208333333333333,0.55171867857025
"25","mmu00760","Nicotinate and nicotinamide metabolism",35,0.813953488372093,1,1,0.996246337890625,0.0285714285714286,0.565859584910258
"26","mmu00785","Lipoic acid metabolism",18,0.947368421052632,1,1,0.993560791015625,0,0.76007825064173
"27","mmu01210","2-Oxocarboxylic acid metabolism",29,0.852941176470588,1,1,0.997589111328125,0,0.76007825064173
"28","mmu05150","Staphylococcus aureus infection",27,0.206106870229008,1,1,0.997161865234375,0.037037037037037,0.766554901125548
"29","mmu04976","Bile secretion",46,0.455445544554455,1,1,0.997833251953125,0.0217391304347826,0.827302452464001
"30","mmu01232","Nucleotide metabolism",69,0.821428571428571,1,1,0.997283935546875,0.0289855072463768,0.872197197354852
"31","mmu04210","Apoptosis",118,0.867647058823529,1,1,0.998199462890625,0.0169491525423729,0.927537080591784
"32","mmu04710","Circadian rhythm",31,0.911764705882353,1,1,0.997894287109375,0,0.943097968286633
"33","mmu00020","Citrate cycle (TCA cycle)",29,0.90625,1,1,0.999420166015625,0,1
"34","mmu00030","Pentose phosphate pathway",27,0.794117647058823,1,1,0.999969482421875,0,1
"35","mmu00040","Pentose and glucuronate interconversions",16,0.432432432432432,1,1,0.999969482421875,0,1
"36","mmu00052","Galactose metabolism",24,0.75,1,1,0.999969482421875,0,1
"37","mmu00053","Ascorbate and aldarate metabolism",10,0.3125,1,1,0.999969482421875,0,1
"38","mmu00061","Fatty acid biosynthesis",15,0.789473684210526,1,1,0.999969482421875,0,1
"39","mmu00062","Fatty acid elongation",27,0.9,1,1,0.999969482421875,0,1
"40","mmu00071","Fatty acid degradation",40,0.769230769230769,1,1,0.999969482421875,0,1
"41","mmu00100","Steroid biosynthesis",18,0.9,1,1,0.999969482421875,0,1
"42","mmu00120","Primary bile acid biosynthesis",10,0.555555555555556,1,1,0.999969482421875,0,1
"43","mmu00140","Steroid hormone biosynthesis",20,0.198019801980198,1,1,0.999969482421875,0,1
"44","mmu00190","Oxidative phosphorylation",127,0.900709219858156,1,1,0.999969482421875,0,1
"45","mmu00230","Purine metabolism",102,0.761194029850746,1,1,0.998748779296875,0.0196078431372549,1
"46","mmu00232",NA,2,0.333333333333333,1,1,0.999969482421875,0,1
"47","mmu00240","Pyrimidine metabolism",46,0.807017543859649,1,1,0.999053955078125,0.0434782608695652,1
"48","mmu00250","Alanine, aspartate and glutamate metabolism",33,0.846153846153846,1,1,0.999481201171875,0.03125,1
"49","mmu00260","Glycine, serine and threonine metabolism",33,0.825,1,1,0.999542236328125,0.0303030303030303,1
"50","mmu00280","Valine, leucine and isoleucine degradation",53,0.929824561403509,1,1,0.999237060546875,0.0192307692307692,1
"51","mmu00290",NA,2,0.5,1,1,0.999969482421875,0,1
"52","mmu00310","Lysine degradation",58,0.90625,1,1,0.999969482421875,0,1
"53","mmu00330","Arginine and proline metabolism",42,0.777777777777778,1,1,0.998870849609375,0.0476190476190476,1
"54","mmu00340","Histidine metabolism",18,0.692307692307692,1,1,0.999969482421875,0,1
"55","mmu00350","Tyrosine metabolism",28,0.7,1,1,0.999969482421875,0,1
"56","mmu00360","Phenylalanine metabolism",14,0.666666666666667,1,1,0.999969482421875,0,1
