"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"1","mmu00290",NA,2,0.5,0.024993896484375,3.0517578125e-05,0,1,1.19669880268137e-44
"2","mmu00660",NA,1,0.5,0.050018310546875,3.0517578125e-05,0,1,1.30098663966726e-17
"3","mmu03260","Virion - Human immunodeficiency virus",2,0.2,0.024993896484375,3.0517578125e-05,0,1,5.83627095158529e-12
"4","mmu00604","Glycosphingolipid biosynthesis - ganglio series",14,0.933333333333333,1,1,0.522674560546875,0.714285714285714,3.33714425406405e-11
"5","mmu04973","Carbohydrate digestion and absorption",29,0.591836734693878,1,1,0.746978759765625,0.586206896551724,2.16209532572709e-09
"6","mmu00730","Thiamine metabolism",11,0.733333333333333,1,1,0.812896728515625,0.545454545454545,6.1462093326228e-08
"7","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",15,0.882352941176471,1,1,0.756256103515625,0.6,6.54981081053181e-08
"8","mmu05144","Malaria",20,0.303030303030303,1,1,0.521881103515625,0.6,2.24128309119669e-05
"9","mmu00053","Ascorbate and aldarate metabolism",10,0.3125,1,1,0.661163330078125,0.7,3.19019502444579e-05
"10","mmu05218","Melanoma",62,0.861111111111111,1,1,0.648468017578125,0.596774193548387,3.26942775989691e-05
"11","mmu05219","Bladder cancer",36,0.878048780487805,1,1,0.664215087890625,0.555555555555556,9.36430470401672e-05
"12","mmu00100","Steroid biosynthesis",18,0.9,1,1,0.804840087890625,0.555555555555556,0.000103668105875915
"13","mmu00750",NA,9,1,1,1,0.556427001953125,0.555555555555556,0.000104852883563911
"14","mmu04640","Hematopoietic cell lineage",44,0.473118279569892,1,1,0.682525634765625,0.613636363636364,0.000139706052850623
"15","mmu00340","Histidine metabolism",18,0.692307692307692,1,1,0.756195068359375,0.611111111111111,0.000158943646418741
"16","mmu00052","Galactose metabolism",24,0.75,1,1,0.742828369140625,0.583333333333333,0.000555531048880306
"17","mmu00520","Amino sugar and nucleotide sugar metabolism",34,0.871794871794872,1,1,0.749969482421875,0.617647058823529,0.000555531048880306
"18","mmu04518","Integrin signaling",120,0.784313725490196,1,1,0.675262451171875,0.583333333333333,0.000605145295102031
"19","mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate",12,0.857142857142857,1,1,0.596588134765625,0.666666666666667,0.00124707099416101
"20","mmu00040","Pentose and glucuronate interconversions",16,0.432432432432432,1,1,0.742828369140625,0.5625,0.00137055592765736
"21","mmu04340","Hedgehog signaling pathway",50,0.862068965517241,1,1,0.753082275390625,0.58,0.00219202126115219
"22","mmu03264","Virion - Flavivirus and Alphavirus",3,0.230769230769231,1,1,0.699554443359375,0.666666666666667,0.00237101107315337
