"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"1","mmu00290",NA,2,0.5,0.024993896484375,3.0517578125e-05,0,1,2.27833012326289e-64
"2","mmu03260","Virion - Human immunodeficiency virus",2,0.2,0.024993896484375,0.009979248046875,0.008026123046875,1,8.34534275070003e-09
"3","mmu05143","African trypanosomiasis",14,0.378378378378378,1,1,0.846466064453125,0.5,3.13928840866728e-08
"4","mmu00604","Glycosphingolipid biosynthesis - ganglio series",14,0.933333333333333,1,1,0.791595458984375,0.5,2.66193518389047e-05
"5","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",15,0.882352941176471,1,1,0.822235107421875,0.466666666666667,2.92386830479052e-05
"6","mmu04973","Carbohydrate digestion and absorption",29,0.591836734693878,1,1,0.807891845703125,0.482758620689655,2.93896162411431e-05
"7","mmu00430","Taurine and hypotaurine metabolism",10,0.454545454545455,1,1,0.906402587890625,0.4,3.3593514533761e-05
"8","mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",6,0.352941176470588,1,1,0.846466064453125,0.5,4.53560515481071e-05
"9","mmu00730","Thiamine metabolism",11,0.733333333333333,1,1,0.812835693359375,0.454545454545455,5.6326492126757e-05
"10","mmu04730","Long-term depression",50,0.833333333333333,1,1,0.869354248046875,0.44,6.40906585599354e-05
"11","mmu04614","Renin-angiotensin system",13,0.361111111111111,1,1,0.818328857421875,0.538461538461538,0.000169129073202229
"12","mmu04970","Salivary secretion",53,0.609195402298851,1,1,0.836395263671875,0.471698113207547,0.000220175219721914
"13","mmu00660",NA,1,0.5,0.050018310546875,0.007110595703125,0.005889892578125,1,0.000715094034394162
"14","mmu04518","Integrin signaling",120,0.784313725490196,1,1,0.795257568359375,0.475,0.00133964579918519
"15","mmu00053","Ascorbate and aldarate metabolism",10,0.3125,1,1,0.846466064453125,0.4,0.00357884870211539
"16","mmu05144","Malaria",20,0.303030303030303,1,1,0.809234619140625,0.4,0.00398087352883859
