"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"1","mmu03271",NA,1,0.5,0.050018310546875,3.0517578125e-05,0,1,1.03413242320612e-33
"2","mmu00232",NA,2,0.333333333333333,1,1,0.846588134765625,0.5,1.33192442119253e-07
"3","mmu00660",NA,1,0.5,0.050018310546875,9.1552734375e-05,9.1552734375e-05,1,7.97548574799745e-06
"4","mmu00040","Pentose and glucuronate interconversions",16,0.432432432432432,1,1,0.596588134765625,0.5625,8.99944037579326e-06
"5","mmu03260","Virion - Human immunodeficiency virus",2,0.2,1,0.936309814453125,0.364776611328125,0.5,1.61139506720388e-05
"6","mmu00640","Propanoate metabolism",31,1,1,1,0.810638427734375,0.548387096774194,3.81076556869614e-05
"7","mmu05143","African trypanosomiasis",15,0.405405405405405,1,1,0.699554443359375,0.533333333333333,8.96232392239397e-05
"8","mmu00061","Fatty acid biosynthesis",17,0.894736842105263,1,1,0.777130126953125,0.529411764705882,0.000265835052587783
"9","mmu00500","Starch and sucrose metabolism",21,0.6,1,1,0.748626708984375,0.523809523809524,0.000371049611195329
"10","mmu00524",NA,4,0.8,1,1,0.596588134765625,0.75,0.000371049611195329
"11","mmu00053","Ascorbate and aldarate metabolism",10,0.3125,1,1,0.661163330078125,0.6,0.00504076110367988
"12","mmu00561","Glycerolipid metabolism",54,0.84375,1,1,0.804840087890625,0.5,0.00504076110367988
"13","mmu00020","Citrate cycle (TCA cycle)",29,0.90625,1,1,0.778900146484375,0.482758620689655,0.00632676662636459
"14","mmu00480","Glutathione metabolism",58,0.794520547945205,1,1,0.834320068359375,0.482758620689655,0.00670006610322061
"15","mmu00400",NA,5,0.555555555555556,1,1,0.846588134765625,0.5,0.00695064916654484
"16","mmu00052","Galactose metabolism",25,0.78125,1,1,0.832305908203125,0.52,0.0118670552538602
"17","mmu00220","Arginine biosynthesis",18,0.857142857142857,1,1,0.846588134765625,0.5,0.0366282912769378
"18","mmu00740",NA,8,1,1,1,0.846588134765625,0.5,0.0376437588095206
"19","mmu00051","Fructose and mannose metabolism",35,0.921052631578947,1,1,0.874481201171875,0.457142857142857,0.0475699731124277
"20","mmu00010","Glycolysis / Gluconeogenesis",57,0.850746268656716,1,1,0.801239013671875,0.446428571428571,0.0533361153111415
"21","mmu05412","Arrhythmogenic right ventricular cardiomyopathy",74,0.86046511627907,1,1,0.805816650390625,0.445945945945946,0.0574342398134298
"22","mmu04216","Ferroptosis",39,0.951219512195122,1,1,0.818389892578125,0.435897435897436,0.0594706826914408
"23","mmu04330","Notch signaling pathway",60,0.9375,1,1,0.822357177734375,0.433333333333333,0.0733141631582556
"24","mmu05146","Amoebiasis",65,0.607476635514019,1,1,0.841156005859375,0.446153846153846,0.0941465157101491
"25","mmu04392","Hippo signaling pathway - multiple species",26,0.962962962962963,1,1,0.818389892578125,0.423076923076923,0.102626973876658
"26","mmu04070","Phosphatidylinositol signaling system",88,0.916666666666667,1,1,0.844268798828125,0.443181818181818,0.105415282672756
"27","mmu04750","Inflammatory mediator regulation of TRP channels",84,0.646153846153846,1,1,0.858795166015625,0.433734939759036,0.105415282672756
"28","mmu04514","Cell adhesion molecule (CAM) interaction",105,0.58659217877095,1,1,0.829315185546875,0.4,0.111453093628369
"29","mmu04933","AGE-RAGE signaling pathway in diabetic complications",85,0.841584158415842,1,1,0.825286865234375,0.435294117647059,0.112183111538009
"30","mmu00785","Lipoic acid metabolism",18,0.947368421052632,1,1,0.756195068359375,0.444444444444444,0.126812922677257
"31","mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate",13,0.928571428571429,1,1,0.818389892578125,0.384615384615385,0.127396726548274
"32","mmu04820","Cytoskeleton in muscle cells",189,0.811158798283262,1,1,0.846160888671875,0.430851063829787,0.13239543275968
"33","mmu00564","Glycerophospholipid metabolism",89,0.872549019607843,1,1,0.842620849609375,0.382022471910112,0.168427352360045
"34","mmu04973","Carbohydrate digestion and absorption",32,0.653061224489796,1,1,0.846588134765625,0.4375,0.172039596600893
"35","mmu04068","FoxO signaling pathway",114,0.857142857142857,1,1,0.832916259765625,0.412280701754386,0.175449650084205
"36","mmu04917","Prolactin signaling pathway",61,0.824324324324324,1,1,0.852203369140625,0.426229508196721,0.178352250168296
"37","mmu04550","Signaling pathways regulating pluripotency of stem cells",127,0.907142857142857,1,1,0.848968505859375,0.401574803149606,0.214765963376588
"38","mmu04614","Renin-angiotensin system",15,0.416666666666667,1,1,0.868560791015625,0.4,0.217743184976199
"39","mmu04519","Cadherin signaling",285,0.688405797101449,1,1,0.853363037109375,0.415492957746479,0.219652667275168
"40","mmu05223","Non-small cell lung cancer",72,1,1,1,0.846588134765625,0.402777777777778,0.231871862331255
"41","mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series",26,0.962962962962963,1,1,0.818389892578125,0.384615384615385,0.232726826218864
"42","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",16,0.941176470588235,1,1,0.799163818359375,0.3125,0.232726826218864
"43","mmu04977","Vitamin digestion and absorption",21,0.807692307692308,1,1,0.862518310546875,0.380952380952381,0.258653694149843
"44","mmu05213","Endometrial cancer",56,0.96551724137931,1,1,0.847869873046875,0.410714285714286,0.261745332535128
"45","mmu05216","Thyroid cancer",36,0.972972972972973,1,1,0.835662841796875,0.361111111111111,0.261745332535128
"46","mmu04115","p53 signaling pathway",72,0.96,1,1,0.839385986328125,0.388888888888889,0.281642106710832
"47","mmu04012","ErbB signaling pathway",79,0.94047619047619,1,1,0.859405517578125,0.40506329113924,0.289109616382676
