"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"1","mmu00660",NA,1,0.5,0.050018310546875,3.0517578125e-05,0,1,1.05401401110815e-30
"2","mmu00290",NA,2,0.5,0.024993896484375,3.0517578125e-05,0,1,1.16635229641778e-15
"3","mmu00604","Glycosphingolipid biosynthesis - ganglio series",14,0.933333333333333,1,1,0.544158935546875,0.785714285714286,1.33318313403242e-13
"4","mmu03264","Virion - Flavivirus and Alphavirus",3,0.230769230769231,1,1,0.699554443359375,0.666666666666667,2.32349358731103e-12
"5","mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",7,0.411764705882353,1,1,0.791717529296875,0.571428571428571,1.29638532053502e-11
"6","mmu03260","Virion - Human immunodeficiency virus",2,0.2,0.024993896484375,3.0517578125e-05,3.0517578125e-05,1,3.81760382296784e-09
"7","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",16,0.941176470588235,1,1,0.501373291015625,0.75,1.20577117635937e-07
"8","mmu00730","Thiamine metabolism",11,0.733333333333333,1,1,0.491790771484375,0.818181818181818,4.83718082930855e-07
"9","mmu00040","Pentose and glucuronate interconversions",16,0.432432432432432,1,1,0.675994873046875,0.6875,8.38822897697165e-07
"10","mmu04392","Hippo signaling pathway - multiple species",26,0.962962962962963,1,1,0.682281494140625,0.576923076923077,2.90997829103191e-05
"11","mmu01230","Biosynthesis of amino acids",67,0.848101265822785,1,1,0.690093994140625,0.636363636363636,8.25432678516191e-05
"12","mmu04614","Renin-angiotensin system",15,0.416666666666667,1,1,0.699554443359375,0.666666666666667,0.000384554828432515
"13","mmu00750",NA,8,0.888888888888889,1,1,0.742828369140625,0.625,0.000401484684469265
"14","mmu04156","Integrated stress response (ISR) signaling pathway",50,0.735294117647059,1,1,0.735198974609375,0.591836734693878,0.0004632235742336
"15","mmu03008","Ribosome biogenesis in eukaryotes",75,0.490196078431373,1,1,0.600860595703125,0.653333333333333,0.000553516693222402
"16","mmu00830","Retinol metabolism",26,0.252427184466019,1,1,0.756988525390625,0.576923076923077,0.0014369483507154
"17","mmu00511","Other glycan degradation",16,0.888888888888889,1,1,0.742828369140625,0.5625,0.00217356738489088
"18","mmu00970","Aminoacyl-tRNA biosynthesis",44,0.0954446854663774,1,1,0.731475830078125,0.613636363636364,0.00221022537004725
"19","mmu00053","Ascorbate and aldarate metabolism",10,0.3125,1,1,0.766510009765625,0.6,0.00269839358968954
"20","mmu00785","Lipoic acid metabolism",18,0.947368421052632,1,1,0.556488037109375,0.722222222222222,0.00306248089174957
"21","mmu03266","Virion - Herpesvirus",7,0.7,1,1,0.791717529296875,0.571428571428571,0.00801314998998622
"22","mmu00360","Phenylalanine metabolism",14,0.666666666666667,1,1,0.752105712890625,0.615384615384615,0.00804695082841069
"23","mmu00260","Glycine, serine and threonine metabolism",33,0.825,1,1,0.699554443359375,0.575757575757576,0.00877063400615625
"24","mmu00670","One carbon pool by folate",33,0.891891891891892,1,1,0.664825439453125,0.606060606060606,0.00877063400615625
"25","mmu00512","Mucin type O-glycan biosynthesis",24,0.75,1,1,0.699310302734375,0.583333333333333,0.00885792921239557
"26","mmu00600","Sphingolipid metabolism",51,0.910714285714286,1,1,0.740386962890625,0.607843137254902,0.0115820211737245
"27","mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate",13,0.928571428571429,1,1,0.670379638671875,0.615384615384615,0.0130236392951888
"28","mmu00520","Amino sugar and nucleotide sugar metabolism",36,0.923076923076923,1,1,0.756195068359375,0.583333333333333,0.0155198598500723
"29","mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series",26,0.962962962962963,1,1,0.670379638671875,0.576923076923077,0.0172821912887362
"30","mmu00450","Selenocompound metabolism",16,0.941176470588235,1,1,0.742828369140625,0.5625,0.0200563445049391
"31","mmu00330","Arginine and proline metabolism",44,0.814814814814815,1,1,0.707794189453125,0.568181818181818,0.0205945077297504
"32","mmu00100","Steroid biosynthesis",18,0.9,1,1,0.756195068359375,0.611111111111111,0.0220748990863025
"33","mmu00270","Cysteine and methionine metabolism",50,0.87719298245614,1,1,0.735198974609375,0.571428571428571,0.0329206490489389
"34","mmu04340","Hedgehog signaling pathway",50,0.862068965517241,1,1,0.747344970703125,0.58,0.0357978758156256
"35","mmu01210","2-Oxocarboxylic acid metabolism",29,0.852941176470588,1,1,0.747039794921875,0.586206896551724,0.0376706298456203
"36","mmu05144","Malaria",22,0.333333333333333,1,1,0.702239990234375,0.590909090909091,0.0390637199928996
"37","mmu04973","Carbohydrate digestion and absorption",32,0.653061224489796,1,1,0.799163818359375,0.53125,0.0571001927631019
"38","mmu04978","Mineral absorption",47,0.854545454545454,1,1,0.789093017578125,0.553191489361702,0.0571001927631019
"39","mmu04517","IgSF CAM signaling",236,0.786666666666667,1,1,0.735809326171875,0.555084745762712,0.0619854217710488
"40","mmu05218","Melanoma",64,0.888888888888889,1,1,0.742523193359375,0.546875,0.0901198795662294
"41","mmu04730","Long-term depression",50,0.833333333333333,1,1,0.747711181640625,0.56,0.107438920703033
"42","mmu04810","Regulation of actin cytoskeleton",195,0.833333333333333,1,1,0.753204345703125,0.525773195876289,0.115307157688704
"43","mmu04520","Adherens junction",87,0.945652173913043,1,1,0.768035888671875,0.540229885057471,0.117501925404565
"44","mmu00232",NA,2,0.333333333333333,1,0.492706298828125,0.227813720703125,0.5,0.119310403396605
"45","mmu04518","Integrin signaling",126,0.823529411764706,1,1,0.755401611328125,0.53968253968254,0.1256704395863
"46","mmu00561","Glycerolipid metabolism",54,0.84375,1,1,0.719207763671875,0.555555555555556,0.135489965382127
"47","mmu04744","Phototransduction",16,0.592592592592593,1,1,0.799163818359375,0.4375,0.135590986236251
"48","mmu00051","Fructose and mannose metabolism",35,0.921052631578947,1,1,0.791717529296875,0.542857142857143,0.142811758068362
"49","mmu04964","Proximal tubule bicarbonate reclamation",18,0.818181818181818,1,1,0.699554443359375,0.555555555555556,0.144293050279207
"50","mmu00630","Glyoxylate and dicarboxylate metabolism",27,0.818181818181818,1,1,0.738250732421875,0.481481481481481,0.146023199507857
"51","mmu04640","Hematopoietic cell lineage",53,0.56989247311828,1,1,0.796234130859375,0.528301886792453,0.149435782105989
"52","mmu00480","Glutathione metabolism",58,0.794520547945205,1,1,0.778900146484375,0.53448275862069,0.152719684131597
"53","mmu05146","Amoebiasis",65,0.607476635514019,1,1,0.752105712890625,0.507692307692308,0.161736574770619
"54","mmu04015","Rap1 signaling pathway",184,0.85981308411215,1,1,0.768096923828125,0.53804347826087,0.182652367372085
"55","mmu04540","Gap junction",73,0.848837209302326,1,1,0.763397216796875,0.506849315068493,0.182652367372085
"56","mmu00513","Various types of N-glycan biosynthesis",42,0.91304347826087,1,1,0.748626708984375,0.5,0.1868271507105
"57","mmu04014","Ras signaling pathway",203,0.856540084388186,1,1,0.764862060546875,0.532019704433498,0.194142791523679
"58","mmu04960","Aldosterone-regulated sodium reabsorption",31,0.815789473684211,1,1,0.722503662109375,0.548387096774194,0.208453879582605
"59","mmu04514","Cell adhesion molecule (CAM) interaction",105,0.58659217877095,1,1,0.782867431640625,0.523809523809524,0.234884698636713
"60","mmu04950","Maturity onset diabetes of the young",16,0.592592592592593,1,1,0.798492431640625,0.5,0.243455975525647
"61","mmu05163","Human cytomegalovirus infection",190,0.748031496062992,1,1,0.757293701171875,0.5,0.243621270964042
"62","mmu05170","Human immunodeficiency virus 1 infection",188,0.780082987551867,1,1,0.759857177734375,0.49468085106383,0.245938670638449
"63","mmu04360","Axon guidance",166,0.917127071823204,1,1,0.746490478515625,0.530120481927711,0.258854780822548
"64","mmu04350","TGF-beta signaling pathway",96,0.857142857142857,1,1,0.742279052734375,0.541666666666667,0.26125847081213
"65","mmu00514","Other types of O-glycan biosynthesis",38,0.844444444444444,1,1,0.736297607421875,0.5,0.261816890950315
"66","mmu04510","Focal adhesion",177,0.876237623762376,1,1,0.774017333984375,0.511363636363636,0.263343743709608
"67","mmu00052","Galactose metabolism",25,0.78125,1,1,0.766510009765625,0.56,0.269098067812904
"68","mmu00910","Nitrogen metabolism",16,0.941176470588235,1,1,0.742828369140625,0.5,0.269122412950028
"69","mmu04666","Fc gamma R-mediated phagosome formation",87,0.925531914893617,1,1,0.767791748046875,0.494252873563218,0.274751829751804
"70","mmu05143","African trypanosomiasis",15,0.405405405405405,1,1,0.699554443359375,0.466666666666667,0.281369102533215
"71","mmu04670","Leukocyte transendothelial migration",85,0.714285714285714,1,1,0.787384033203125,0.505882352941176,0.309994111807797
