"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"1","mmu00290",NA,2,0.5,0.024993896484375,0.000213623046875,0.000274658203125,1,5.13803745580984e-16
"2","mmu03267",NA,4,1,1,1,0.846527099609375,0.5,9.07041058602373e-07
"3","mmu03260","Virion - Human immunodeficiency virus",2,0.2,1,1,0.846527099609375,0.5,3.37179523454409e-05
"4","mmu05143","African trypanosomiasis",15,0.405405405405405,1,1,0.868499755859375,0.466666666666667,0.000207408479692472
"5","mmu04614","Renin-angiotensin system",15,0.416666666666667,1,1,0.906402587890625,0.4,0.000260812756027162
"6","mmu05218","Melanoma",64,0.888888888888889,1,1,0.846466064453125,0.421875,0.000903829023473249
"7","mmu04973","Carbohydrate digestion and absorption",32,0.653061224489796,1,1,0.823822021484375,0.46875,0.00129315365725665
"8","mmu04960","Aldosterone-regulated sodium reabsorption",31,0.815789473684211,1,1,0.877777099609375,0.451612903225806,0.0014761905426643
"9","mmu04518","Integrin signaling",126,0.823529411764706,1,1,0.850494384765625,0.412698412698413,0.00183601561996373
"10","mmu00480","Glutathione metabolism",58,0.794520547945205,1,1,0.869232177734375,0.431034482758621,0.00201289298023535
"11","mmu04970","Salivary secretion",60,0.689655172413793,1,1,0.888458251953125,0.416666666666667,0.00273671111428479
"12","mmu05230","Central carbon metabolism in cancer",65,0.942028985507246,1,1,0.889923095703125,0.384615384615385,0.00335525945936759
"13","mmu04978","Mineral absorption",47,0.854545454545454,1,1,0.867645263671875,0.425531914893617,0.00379883700573082
"14","mmu00604","Glycosphingolipid biosynthesis - ganglio series",14,0.933333333333333,1,1,0.853851318359375,0.428571428571429,0.00382866193786723
"15","mmu01230","Biosynthesis of amino acids",67,0.848101265822785,1,1,0.893524169921875,0.393939393939394,0.00534682571822506
"16","mmu00053","Ascorbate and aldarate metabolism",10,0.3125,1,1,0.846527099609375,0.4,0.00591068027289236
"17","mmu00270","Cysteine and methionine metabolism",50,0.87719298245614,1,1,0.891143798828125,0.387755102040816,0.0105068279922917
"18","mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",7,0.411764705882353,1,1,0.791595458984375,0.428571428571429,0.0132946136819387
"19","mmu04015","Rap1 signaling pathway",184,0.85981308411215,1,1,0.890716552734375,0.385869565217391,0.0174150451875128
"20","mmu04730","Long-term depression",50,0.833333333333333,1,1,0.872650146484375,0.4,0.0192864959729231
"21","mmu05144","Malaria",22,0.333333333333333,1,1,0.846527099609375,0.409090909090909,0.0264076912122219
"22","mmu04810","Regulation of actin cytoskeleton",195,0.833333333333333,1,1,0.885711669921875,0.376288659793814,0.0318011720981556
"23","mmu04510","Focal adhesion",177,0.876237623762376,1,1,0.878326416015625,0.375,0.0390650050704078
"24","mmu05215","Prostate cancer",96,0.897196261682243,1,1,0.897674560546875,0.375,0.0491810492631486
"25","mmu04972","Pancreatic secretion",64,0.556521739130435,1,1,0.903228759765625,0.359375,0.0540037195862113
"26","mmu04820","Cytoskeleton in muscle cells",189,0.811158798283262,1,1,0.889862060546875,0.367021276595745,0.0659179306622686
"27","mmu04976","Bile secretion",48,0.475247524752475,1,1,0.918670654296875,0.354166666666667,0.0681544261322322
"28","mmu00360","Phenylalanine metabolism",14,0.666666666666667,1,1,0.871734619140625,0.307692307692308,0.0721615202718319
"29","mmu04666","Fc gamma R-mediated phagosome formation",87,0.925531914893617,1,1,0.886505126953125,0.35632183908046,0.0730119448185666
"30","mmu00040","Pentose and glucuronate interconversions",16,0.432432432432432,1,1,0.846527099609375,0.3125,0.0756702201992247
"31","mmu04919","Thyroid hormone signaling pathway",111,0.925,1,1,0.903656005859375,0.36036036036036,0.0799250455908053
"32","mmu04725","Cholinergic synapse",92,0.807017543859649,1,1,0.905303955078125,0.347826086956522,0.0885327593084177
"33","mmu04925","Aldosterone synthesis and secretion",79,0.759615384615385,1,1,0.903839111328125,0.354430379746835,0.0885327593084177
"34","mmu04928","Parathyroid hormone synthesis, secretion and action",100,0.862068965517241,1,1,0.895904541015625,0.35,0.0885327593084177
"35","mmu04151","PI3K-Akt signaling pathway",282,0.766304347826087,1,1,0.890838623046875,0.354609929078014,0.093747340821879
"36","mmu00260","Glycine, serine and threonine metabolism",33,0.825,1,1,0.909454345703125,0.363636363636364,0.100305229572422
"37","mmu05220","Chronic myeloid leukemia",75,0.986842105263158,1,1,0.892181396484375,0.32,0.104402836761235
"38","mmu04929","GnRH secretion",51,0.80952380952381,1,1,0.919830322265625,0.333333333333333,0.108639610366052
"39","mmu04512","ECM-receptor interaction",67,0.752808988764045,1,1,0.919525146484375,0.343283582089552,0.111397037575229
"40","mmu05146","Amoebiasis",65,0.607476635514019,1,1,0.881011962890625,0.369230769230769,0.111397037575229
"41","mmu04979","Cholesterol metabolism",38,0.745098039215686,1,1,0.880279541015625,0.342105263157895,0.118584763372618
"42","mmu05219","Bladder cancer",37,0.902439024390244,1,1,0.888946533203125,0.351351351351351,0.119511494002227
"43","mmu00430","Taurine and hypotaurine metabolism",13,0.590909090909091,1,1,0.871734619140625,0.307692307692308,0.13081465828488
"44","mmu05221","Acute myeloid leukemia",58,0.828571428571429,1,1,0.908172607421875,0.327586206896552,0.130864352965126
"45","mmu04922","Glucagon signaling pathway",88,0.846153846153846,1,1,0.907562255859375,0.340909090909091,0.141186606283445
"46","mmu04550","Signaling pathways regulating pluripotency of stem cells",127,0.907142857142857,1,1,0.893035888671875,0.330708661417323,0.142910446963149
"47","mmu05214","Glioma",69,0.92,1,1,0.903411865234375,0.333333333333333,0.147309318446838
"48","mmu05226","Gastric cancer",132,0.88,1,1,0.893524169921875,0.333333333333333,0.159809561655363
"49","mmu04915","Estrogen signaling pathway",101,0.753731343283582,1,1,0.913360595703125,0.346534653465347,0.169748761649198
"50","mmu00340","Histidine metabolism",19,0.730769230769231,1,1,0.864044189453125,0.263157894736842,0.170081014207732
"51","mmu04517","IgSF CAM signaling",236,0.786666666666667,1,1,0.898406982421875,0.355932203389831,0.17860041647826
"52","mmu00561","Glycerolipid metabolism",54,0.84375,1,1,0.892608642578125,0.296296296296296,0.181278533100748
"53","mmu05213","Endometrial cancer",56,0.96551724137931,1,1,0.910064697265625,0.321428571428571,0.182495603442479
"54","mmu05216","Thyroid cancer",36,0.972972972972973,1,1,0.897674560546875,0.333333333333333,0.182495603442479
"55","mmu04012","ErbB signaling pathway",79,0.94047619047619,1,1,0.910247802734375,0.341772151898734,0.18339480813523
"56","mmu05222","Small cell lung cancer",88,0.936170212765957,1,1,0.901702880859375,0.340909090909091,0.18339480813523
"57","mmu05100","Bacterial invasion of epithelial cells",67,0.87012987012987,1,1,0.904876708984375,0.358208955223881,0.204985770926375
"58","mmu04350","TGF-beta signaling pathway",96,0.857142857142857,1,1,0.903167724609375,0.34375,0.208712615276937
"59","mmu00730","Thiamine metabolism",11,0.733333333333333,1,1,0.876007080078125,0.363636363636364,0.222511676972977
"60","mmu05224","Breast cancer",129,0.877551020408163,1,1,0.894439697265625,0.333333333333333,0.225385084844553
"61","mmu01320",NA,2,1,1,1,0.846527099609375,0,0.23082731853387
"62","mmu05410","Hypertrophic cardiomyopathy",80,0.8,1,1,0.912689208984375,0.3375,0.232418669807768
"63","mmu04514","Cell adhesion molecule (CAM) interaction",105,0.58659217877095,1,1,0.906402587890625,0.352380952380952,0.244896099820115
"64","mmu04935","Growth hormone synthesis, secretion and action",102,0.871794871794872,1,1,0.905426025390625,0.323529411764706,0.269901306256651
"65","mmu00051","Fructose and mannose metabolism",35,0.921052631578947,1,1,0.891143798828125,0.285714285714286,0.278102530797538
"66","mmu04917","Prolactin signaling pathway",61,0.824324324324324,1,1,0.901275634765625,0.327868852459016,0.29856243902877
"67","mmu04728","Dopaminergic synapse",114,0.832116788321168,1,1,0.907318115234375,0.31858407079646,0.298604157662256
"68","mmu04540","Gap junction",73,0.848837209302326,1,1,0.907196044921875,0.315068493150685,0.316969234347381
"69","mmu05340","Primary immunodeficiency",26,0.722222222222222,1,1,0.914093017578125,0.230769230769231,0.320391766106608
"70","mmu00010","Glycolysis / Gluconeogenesis",57,0.850746268656716,1,1,0.900848388671875,0.321428571428571,0.323570380362883
"71","mmu04066","HIF-1 signaling pathway",103,0.88034188034188,1,1,0.905426025390625,0.343137254901961,0.323570380362883
"72","mmu05412","Arrhythmogenic right ventricular cardiomyopathy",74,0.86046511627907,1,1,0.917083740234375,0.337837837837838,0.336195936314635
"73","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",16,0.941176470588235,1,1,0.899078369140625,0.25,0.38678319195772
"74","mmu03272","Virion - Hepatitis viruses",31,0.607843137254902,1,1,0.912872314453125,0.290322580645161,0.430302548034374
"75","mmu05211","Renal cell carcinoma",67,0.957142857142857,1,1,0.912384033203125,0.283582089552239,0.431161842139194
"76","mmu04918","Thyroid hormone synthesis",61,0.824324324324324,1,1,0.917694091796875,0.311475409836066,0.435551093427766
"77","mmu04340","Hedgehog signaling pathway",50,0.862068965517241,1,1,0.906402587890625,0.34,0.436761753333128
"78","mmu04014","Ras signaling pathway",203,0.856540084388186,1,1,0.911834716796875,0.334975369458128,0.453710383757159
"79","mmu04360","Axon guidance",166,0.917127071823204,1,1,0.901397705078125,0.289156626506024,0.459945795149967
"80","mmu05202","Transcriptional misregulation in cancer",151,0.689497716894977,1,1,0.907745361328125,0.28476821192053,0.496796254737737
"81","mmu00910","Nitrogen metabolism",16,0.941176470588235,1,1,0.918670654296875,0.25,0.521324275392781
"82","mmu00052","Galactose metabolism",25,0.78125,1,1,0.884613037109375,0.32,0.532529786060206
"83","mmu05200",NA,454,0.82695810564663,1,1,0.913665771484375,0.314977973568282,0.608060024526031
"84","mmu00100","Steroid biosynthesis",18,0.9,1,1,0.912017822265625,0.277777777777778,0.623281720477028
"85","mmu04520","Adherens junction",87,0.945652173913043,1,1,0.911041259765625,0.310344827586207,0.630534857774872
"86","mmu05206","MicroRNAs in cancer",175,0.550314465408805,1,1,0.917694091796875,0.32,0.681332845713287
"87","mmu01521","EGFR tyrosine kinase inhibitor resistance",77,0.9625,1,1,0.917938232421875,0.337662337662338,0.684004210186531
